to,from,points
FRA,ALB,0
ITA,ALB,4
BGR,ALB,0
AUS,ALB,7
PRT,ALB,10
SWE,ALB,0
BEL,ALB,12
ISR,ALB,0
GBR,ALB,6
GRC,ALB,2
DEU,ALB,8
AZE,ALB,3
ALB,ALB,0
HRV,ALB,0
UKR,ALB,5
FIN,ALB,0
ESP,ALB,0
ARM,ALB,0
CYP,ALB,0
IRL,ALB,0
NLD,ALB,0
AUT,ALB,0
DNK,ALB,0
HUN,ALB,0
CHE,ALB,0
SRB,ALB,0
FRA,ARM,0
ITA,ARM,12
BGR,ARM,6
AUS,ARM,5
PRT,ARM,2
SWE,ARM,0
BEL,ARM,8
ISR,ARM,0
GBR,ARM,1
GRC,ARM,0
DEU,ARM,0
AZE,ARM,4
ALB,ARM,7
HRV,ARM,3
UKR,ARM,0
FIN,ARM,0
ESP,ARM,0
ARM,ARM,0
CYP,ARM,0
IRL,ARM,10
NLD,ARM,0
AUT,ARM,0
DNK,ARM,0
HUN,ARM,0
CHE,ARM,0
SRB,ARM,0
FRA,AUS,0
ITA,AUS,0
BGR,AUS,3
AUS,AUS,0
PRT,AUS,0
SWE,AUS,7
BEL,AUS,4
ISR,AUS,5
GBR,AUS,0
GRC,AUS,8
DEU,AUS,10
AZE,AUS,1
ALB,AUS,0
HRV,AUS,0
UKR,AUS,0
FIN,AUS,0
ESP,AUS,0
ARM,AUS,0
CYP,AUS,6
IRL,AUS,0
NLD,AUS,0
AUT,AUS,0
DNK,AUS,2
HUN,AUS,12
CHE,AUS,0
SRB,AUS,0
FRA,AZE,0
ITA,AZE,12
BGR,AZE,5
AUS,AZE,7
PRT,AZE,8
SWE,AZE,1
BEL,AZE,6
ISR,AZE,0
GBR,AZE,0
GRC,AZE,0
DEU,AZE,2
AZE,AZE,0
ALB,AZE,0
HRV,AZE,0
UKR,AZE,0
FIN,AZE,0
ESP,AZE,0
ARM,AZE,4
CYP,AZE,10
IRL,AZE,0
NLD,AZE,0
AUT,AZE,0
DNK,AZE,0
HUN,AZE,3
CHE,AZE,0
SRB,AZE,0
FRA,BEL,0
ITA,BEL,12
BGR,BEL,10
AUS,BEL,5
PRT,BEL,4
SWE,BEL,6
BEL,BEL,7
ISR,BEL,0
GBR,BEL,3
GRC,BEL,1
DEU,BEL,0
AZE,BEL,2
ALB,BEL,0
HRV,BEL,0
UKR,BEL,0
FIN,BEL,0
ESP,BEL,0
ARM,BEL,0
CYP,BEL,0
IRL,BEL,0
NLD,BEL,0
AUT,BEL,8
DNK,BEL,0
HUN,BEL,0
CHE,BEL,0
SRB,BEL,0
FRA,CYP,0
ITA,CYP,10
BGR,CYP,8
AUS,CYP,2
PRT,CYP,7
SWE,CYP,3
BEL,CYP,4
ISR,CYP,5
GBR,CYP,6
GRC,CYP,0
DEU,CYP,12
AZE,CYP,0
ALB,CYP,0
HRV,CYP,0
UKR,CYP,0
FIN,CYP,0
ESP,CYP,0
ARM,CYP,0
CYP,CYP,0
IRL,CYP,0
NLD,CYP,0
AUT,CYP,1
DNK,CYP,0
HUN,CYP,0
CHE,CYP,0
SRB,CYP,0
FRA,CZE,0
ITA,CZE,0
BGR,CZE,3
AUS,CZE,6
PRT,CZE,12
SWE,CZE,7
BEL,CZE,2
ISR,CZE,10
GBR,CZE,0
GRC,CZE,5
DEU,CZE,0
AZE,CZE,0
ALB,CZE,0
HRV,CZE,0
UKR,CZE,0
FIN,CZE,8
ESP,CZE,0
ARM,CZE,0
CYP,CZE,0
IRL,CZE,0
NLD,CZE,0
AUT,CZE,1
DNK,CZE,0
HUN,CZE,0
CHE,CZE,4
SRB,CZE,0
FRA,FIN,0
ITA,FIN,7
BGR,FIN,4
AUS,FIN,5
PRT,FIN,10
SWE,FIN,12
BEL,FIN,8
ISR,FIN,6
GBR,FIN,2
GRC,FIN,0
DEU,FIN,0
AZE,FIN,0
ALB,FIN,1
HRV,FIN,0
UKR,FIN,0
FIN,FIN,0
ESP,FIN,0
ARM,FIN,0
CYP,FIN,0
IRL,FIN,0
NLD,FIN,3
AUT,FIN,0
DNK,FIN,0
HUN,FIN,0
CHE,FIN,0
SRB,FIN,0
FRA,GEO,0
ITA,GEO,0
BGR,GEO,0
AUS,GEO,7
PRT,GEO,0
SWE,GEO,0
BEL,GEO,8
ISR,GEO,0
GBR,GEO,0
GRC,GEO,6
DEU,GEO,5
AZE,GEO,0
ALB,GEO,12
HRV,GEO,0
UKR,GEO,0
FIN,GEO,4
ESP,GEO,0
ARM,GEO,0
CYP,GEO,10
IRL,GEO,0
NLD,GEO,0
AUT,GEO,0
DNK,GEO,0
HUN,GEO,0
CHE,GEO,0
SRB,GEO,0
FRA,GRC,0
ITA,GRC,4
BGR,GRC,8
AUS,GRC,12
PRT,GRC,6
SWE,GRC,7
BEL,GRC,2
ISR,GRC,1
GBR,GRC,0
GRC,GRC,0
DEU,GRC,0
AZE,GRC,0
ALB,GRC,0
HRV,GRC,3
UKR,GRC,0
FIN,GRC,0
ESP,GRC,0
ARM,GRC,0
CYP,GRC,0
IRL,GRC,10
NLD,GRC,0
AUT,GRC,5
DNK,GRC,0
HUN,GRC,0
CHE,GRC,0
SRB,GRC,0
FRA,ISL,0
ITA,ISL,0
BGR,ISL,0
AUS,ISL,10
PRT,ISL,12
SWE,ISL,5
BEL,ISL,8
ISR,ISL,3
GBR,ISL,7
GRC,ISL,6
DEU,ISL,0
AZE,ISL,0
ALB,ISL,0
HRV,ISL,0
UKR,ISL,0
FIN,ISL,0
ESP,ISL,0
ARM,ISL,0
CYP,ISL,0
IRL,ISL,0
NLD,ISL,2
AUT,ISL,4
DNK,ISL,0
HUN,ISL,0
CHE,ISL,1
SRB,ISL,0
FRA,LVA,0
ITA,LVA,0
BGR,LVA,8
AUS,LVA,10
PRT,LVA,5
SWE,LVA,12
BEL,LVA,4
ISR,LVA,2
GBR,LVA,0
GRC,LVA,3
DEU,LVA,1
AZE,LVA,0
ALB,LVA,0
HRV,LVA,0
UKR,LVA,0
FIN,LVA,0
ESP,LVA,6
ARM,LVA,7
CYP,LVA,0
IRL,LVA,0
NLD,LVA,0
AUT,LVA,0
DNK,LVA,0
HUN,LVA,0
CHE,LVA,0
SRB,LVA,0
FRA,MDA,0
ITA,MDA,12
BGR,MDA,4
AUS,MDA,5
PRT,MDA,0
SWE,MDA,6
BEL,MDA,7
ISR,MDA,10
GBR,MDA,0
GRC,MDA,0
DEU,MDA,0
AZE,MDA,0
ALB,MDA,0
HRV,MDA,0
UKR,MDA,0
FIN,MDA,8
ESP,MDA,0
ARM,MDA,0
CYP,MDA,0
IRL,MDA,0
NLD,MDA,0
AUT,MDA,0
DNK,MDA,0
HUN,MDA,2
CHE,MDA,3
SRB,MDA,0
FRA,MNE,0
ITA,MNE,0
BGR,MNE,0
AUS,MNE,0
PRT,MNE,0
SWE,MNE,12
BEL,MNE,0
ISR,MNE,0
GBR,MNE,0
GRC,MNE,0
DEU,MNE,0
AZE,MNE,0
ALB,MNE,0
HRV,MNE,10
UKR,MNE,0
FIN,MNE,0
ESP,MNE,0
ARM,MNE,0
CYP,MNE,8
IRL,MNE,0
NLD,MNE,0
AUT,MNE,0
DNK,MNE,0
HUN,MNE,0
CHE,MNE,0
SRB,MNE,0
FRA,POL,0
ITA,POL,8
BGR,POL,2
AUS,POL,4
PRT,POL,5
SWE,POL,3
BEL,POL,10
ISR,POL,12
GBR,POL,0
GRC,POL,0
DEU,POL,0
AZE,POL,0
ALB,POL,0
HRV,POL,0
UKR,POL,0
FIN,POL,7
ESP,POL,1
ARM,POL,0
CYP,POL,0
IRL,POL,0
NLD,POL,6
AUT,POL,0
DNK,POL,0
HUN,POL,0
CHE,POL,0
SRB,POL,0
FRA,PRT,0
ITA,PRT,10
BGR,PRT,8
AUS,PRT,2
PRT,PRT,3
SWE,PRT,0
BEL,PRT,5
ISR,PRT,6
GBR,PRT,0
GRC,PRT,0
DEU,PRT,0
AZE,PRT,1
ALB,PRT,0
HRV,PRT,0
UKR,PRT,0
FIN,PRT,0
ESP,PRT,7
ARM,PRT,12
CYP,PRT,0
IRL,PRT,0
NLD,PRT,4
AUT,PRT,0
DNK,PRT,0
HUN,PRT,0
CHE,PRT,0
SRB,PRT,0
FRA,SVN,0
ITA,SVN,8
BGR,SVN,12
AUS,SVN,5
PRT,SVN,0
SWE,SVN,0
BEL,SVN,0
ISR,SVN,6
GBR,SVN,4
GRC,SVN,0
DEU,SVN,0
AZE,SVN,0
ALB,SVN,0
HRV,SVN,3
UKR,SVN,10
FIN,SVN,0
ESP,SVN,7
ARM,SVN,0
CYP,SVN,0
IRL,SVN,0
NLD,SVN,0
AUT,SVN,1
DNK,SVN,2
HUN,SVN,0
CHE,SVN,0
SRB,SVN,0
FRA,SWE,0
ITA,SWE,8
BGR,SWE,7
AUS,SWE,6
PRT,SWE,12
SWE,SWE,5
BEL,SWE,0
ISR,SWE,10
GBR,SWE,3
GRC,SWE,1
DEU,SWE,0
AZE,SWE,2
ALB,SWE,0
HRV,SWE,0
UKR,SWE,0
FIN,SWE,0
ESP,SWE,4
ARM,SWE,0
CYP,SWE,0
IRL,SWE,0
NLD,SWE,0
AUT,SWE,0
DNK,SWE,0
HUN,SWE,0
CHE,SWE,0
SRB,SWE,0
FRA,AUT,0
ITA,AUT,1
BGR,AUT,8
AUS,AUT,10
PRT,AUT,7
SWE,AUT,6
BEL,AUT,0
ISR,AUT,3
GBR,AUT,0
GRC,AUT,0
DEU,AUT,0
AZE,AUT,12
ALB,AUT,0
HRV,AUT,0
UKR,AUT,2
FIN,AUT,0
ESP,AUT,0
ARM,AUT,0
CYP,AUT,0
IRL,AUT,0
NLD,AUT,0
AUT,AUT,5
DNK,AUT,0
HUN,AUT,0
CHE,AUT,4
SRB,AUT,0
FRA,BLR,0
ITA,BLR,0
BGR,BLR,4
AUS,BLR,7
PRT,BLR,1
SWE,BLR,3
BEL,BLR,12
ISR,BLR,6
GBR,BLR,0
GRC,BLR,0
DEU,BLR,0
AZE,BLR,0
ALB,BLR,8
HRV,BLR,2
UKR,BLR,0
FIN,BLR,10
ESP,BLR,5
ARM,BLR,0
CYP,BLR,0
IRL,BLR,0
NLD,BLR,0
AUT,BLR,0
DNK,BLR,0
HUN,BLR,0
CHE,BLR,0
SRB,BLR,0
FRA,BGR,0
ITA,BGR,12
BGR,BGR,10
AUS,BGR,0
PRT,BGR,0
SWE,BGR,4
BEL,BGR,7
ISR,BGR,5
GBR,BGR,8
GRC,BGR,1
DEU,BGR,0
AZE,BGR,0
ALB,BGR,6
HRV,BGR,0
UKR,BGR,0
FIN,BGR,0
ESP,BGR,0
ARM,BGR,0
CYP,BGR,0
IRL,BGR,0
NLD,BGR,3
AUT,BGR,0
DNK,BGR,2
HUN,BGR,0
CHE,BGR,0
SRB,BGR,0
FRA,HRV,0
ITA,HRV,7
BGR,HRV,12
AUS,HRV,8
PRT,HRV,1
SWE,HRV,6
BEL,HRV,10
ISR,HRV,3
GBR,HRV,5
GRC,HRV,0
DEU,HRV,0
AZE,HRV,0
ALB,HRV,4
HRV,HRV,0
UKR,HRV,0
FIN,HRV,0
ESP,HRV,0
ARM,HRV,0
CYP,HRV,0
IRL,HRV,0
NLD,HRV,0
AUT,HRV,0
DNK,HRV,0
HUN,HRV,0
CHE,HRV,0
SRB,HRV,2
FRA,DNK,0
ITA,DNK,0
BGR,DNK,0
AUS,DNK,7
PRT,DNK,10
SWE,DNK,12
BEL,DNK,8
ISR,DNK,0
GBR,DNK,0
GRC,DNK,6
DEU,DNK,0
AZE,DNK,1
ALB,DNK,4
HRV,DNK,2
UKR,DNK,5
FIN,DNK,0
ESP,DNK,3
ARM,DNK,0
CYP,DNK,0
IRL,DNK,0
NLD,DNK,0
AUT,DNK,0
DNK,DNK,0
HUN,DNK,0
CHE,DNK,0
SRB,DNK,0
FRA,EST,0
ITA,EST,4
BGR,EST,5
AUS,EST,3
PRT,EST,8
SWE,EST,12
BEL,EST,10
ISR,EST,4
GBR,EST,0
GRC,EST,6
DEU,EST,0
AZE,EST,0
ALB,EST,2
HRV,EST,0
UKR,EST,0
FIN,EST,0
ESP,EST,0
ARM,EST,0
CYP,EST,0
IRL,EST,0
NLD,EST,0
AUT,EST,0
DNK,EST,0
HUN,EST,7
CHE,EST,1
SRB,EST,0
FRA,MKD,0
ITA,MKD,3
BGR,MKD,4
AUS,MKD,2
PRT,MKD,10
SWE,MKD,0
BEL,MKD,5
ISR,MKD,0
GBR,MKD,0
GRC,MKD,0
DEU,MKD,6
AZE,MKD,12
ALB,MKD,1
HRV,MKD,8
UKR,MKD,0
FIN,MKD,0
ESP,MKD,0
ARM,MKD,0
CYP,MKD,0
IRL,MKD,7
NLD,MKD,0
AUT,MKD,0
DNK,MKD,0
HUN,MKD,0
CHE,MKD,0
SRB,MKD,0
FRA,HUN,0
ITA,HUN,12
BGR,HUN,1
AUS,HUN,5
PRT,HUN,8
SWE,HUN,10
BEL,HUN,7
ISR,HUN,4
GBR,HUN,0
GRC,HUN,0
DEU,HUN,6
AZE,HUN,3
ALB,HUN,0
HRV,HUN,0
UKR,HUN,0
FIN,HUN,0
ESP,HUN,0
ARM,HUN,0
CYP,HUN,0
IRL,HUN,2
NLD,HUN,0
AUT,HUN,0
DNK,HUN,0
HUN,HUN,0
CHE,HUN,0
SRB,HUN,0
FRA,IRL,0
ITA,IRL,8
BGR,IRL,10
AUS,IRL,6
PRT,IRL,5
SWE,IRL,7
BEL,IRL,0
ISR,IRL,0
GBR,IRL,0
GRC,IRL,12
DEU,IRL,0
AZE,IRL,4
ALB,IRL,1
HRV,IRL,0
UKR,IRL,0
FIN,IRL,0
ESP,IRL,0
ARM,IRL,0
CYP,IRL,0
IRL,IRL,3
NLD,IRL,0
AUT,IRL,2
DNK,IRL,0
HUN,IRL,0
CHE,IRL,0
SRB,IRL,0
FRA,ISR,0
ITA,ISR,12
BGR,ISR,6
AUS,ISR,8
PRT,ISR,7
SWE,ISR,0
BEL,ISR,0
ISR,ISR,10
GBR,ISR,0
GRC,ISR,0
DEU,ISR,0
AZE,ISR,2
ALB,ISR,1
HRV,ISR,0
UKR,ISR,0
FIN,ISR,4
ESP,ISR,0
ARM,ISR,0
CYP,ISR,0
IRL,ISR,0
NLD,ISR,3
AUT,ISR,0
DNK,ISR,5
HUN,ISR,0
CHE,ISR,0
SRB,ISR,0
FRA,LTU,0
ITA,LTU,5
BGR,LTU,10
AUS,LTU,7
PRT,LTU,8
SWE,LTU,3
BEL,LTU,4
ISR,LTU,12
GBR,LTU,2
GRC,LTU,0
DEU,LTU,0
AZE,LTU,0
ALB,LTU,6
HRV,LTU,0
UKR,LTU,0
FIN,LTU,0
ESP,LTU,0
ARM,LTU,0
CYP,LTU,0
IRL,LTU,0
NLD,LTU,0
AUT,LTU,0
DNK,LTU,1
HUN,LTU,0
CHE,LTU,0
SRB,LTU,0
FRA,MLT,0
ITA,MLT,1
BGR,MLT,12
AUS,MLT,10
PRT,MLT,8
SWE,MLT,0
BEL,MLT,7
ISR,MLT,6
GBR,MLT,5
GRC,MLT,3
DEU,MLT,0
AZE,MLT,0
ALB,MLT,0
HRV,MLT,0
UKR,MLT,0
FIN,MLT,0
ESP,MLT,0
ARM,MLT,4
CYP,MLT,0
IRL,MLT,0
NLD,MLT,0
AUT,MLT,2
DNK,MLT,0
HUN,MLT,0
CHE,MLT,0
SRB,MLT,0
FRA,NLD,0
ITA,NLD,5
BGR,NLD,8
AUS,NLD,7
PRT,NLD,10
SWE,NLD,1
BEL,NLD,4
ISR,NLD,12
GBR,NLD,2
GRC,NLD,6
DEU,NLD,0
AZE,NLD,3
ALB,NLD,0
HRV,NLD,0
UKR,NLD,0
FIN,NLD,0
ESP,NLD,0
ARM,NLD,0
CYP,NLD,0
IRL,NLD,0
NLD,NLD,0
AUT,NLD,0
DNK,NLD,0
HUN,NLD,0
CHE,NLD,0
SRB,NLD,0
FRA,NOR,0
ITA,NOR,3
BGR,NOR,6
AUS,NOR,8
PRT,NOR,12
SWE,NOR,10
BEL,NOR,4
ISR,NOR,7
GBR,NOR,2
GRC,NOR,0
DEU,NOR,0
AZE,NOR,0
ALB,NOR,0
HRV,NOR,0
UKR,NOR,0
FIN,NOR,0
ESP,NOR,0
ARM,NOR,0
CYP,NOR,0
IRL,NOR,0
NLD,NOR,1
AUT,NOR,0
DNK,NOR,5
HUN,NOR,0
CHE,NOR,0
SRB,NOR,0
FRA,ROU,0
ITA,ROU,10
BGR,ROU,4
AUS,ROU,12
PRT,ROU,8
SWE,ROU,5
BEL,ROU,2
ISR,ROU,7
GBR,ROU,6
GRC,ROU,0
DEU,ROU,0
AZE,ROU,0
ALB,ROU,0
HRV,ROU,0
UKR,ROU,0
FIN,ROU,0
ESP,ROU,0
ARM,ROU,0
CYP,ROU,0
IRL,ROU,0
NLD,ROU,1
AUT,ROU,0
DNK,ROU,0
HUN,ROU,0
CHE,ROU,3
SRB,ROU,0
FRA,SMR,0
ITA,SMR,12
BGR,SMR,0
AUS,SMR,0
PRT,SMR,0
SWE,SMR,0
BEL,SMR,0
ISR,SMR,0
GBR,SMR,0
GRC,SMR,0
DEU,SMR,0
AZE,SMR,0
ALB,SMR,0
HRV,SMR,0
UKR,SMR,0
FIN,SMR,0
ESP,SMR,0
ARM,SMR,0
CYP,SMR,0
IRL,SMR,0
NLD,SMR,0
AUT,SMR,0
DNK,SMR,0
HUN,SMR,0
CHE,SMR,0
SRB,SMR,0
FRA,SRB,0
ITA,SRB,4
BGR,SRB,12
AUS,SRB,8
PRT,SRB,0
SWE,SRB,7
BEL,SRB,6
ISR,SRB,3
GBR,SRB,2
GRC,SRB,0
DEU,SRB,0
AZE,SRB,0
ALB,SRB,0
HRV,SRB,5
UKR,SRB,10
FIN,SRB,0
ESP,SRB,0
ARM,SRB,0
CYP,SRB,0
IRL,SRB,0
NLD,SRB,0
AUT,SRB,0
DNK,SRB,0
HUN,SRB,0
CHE,SRB,1
SRB,SRB,0
FRA,CHE,0
ITA,CHE,12
BGR,CHE,10
AUS,CHE,5
PRT,CHE,2
SWE,CHE,4
BEL,CHE,0
ISR,CHE,7
GBR,CHE,0
GRC,CHE,0
DEU,CHE,0
AZE,CHE,8
ALB,CHE,0
HRV,CHE,0
UKR,CHE,6
FIN,CHE,0
ESP,CHE,0
ARM,CHE,3
CYP,CHE,0
IRL,CHE,0
NLD,CHE,0
AUT,CHE,1
DNK,CHE,0
HUN,CHE,0
CHE,CHE,0
SRB,CHE,0
FRA,FRA,0
ITA,FRA,0
BGR,FRA,10
AUS,FRA,7
PRT,FRA,0
SWE,FRA,8
BEL,FRA,3
ISR,FRA,12
GBR,FRA,5
GRC,FRA,6
DEU,FRA,0
AZE,FRA,0
ALB,FRA,1
HRV,FRA,0
UKR,FRA,0
FIN,FRA,0
ESP,FRA,0
ARM,FRA,4
CYP,FRA,0
IRL,FRA,0
NLD,FRA,0
AUT,FRA,0
DNK,FRA,0
HUN,FRA,0
CHE,FRA,0
SRB,FRA,2
FRA,DEU,0
ITA,DEU,10
BGR,DEU,12
AUS,DEU,4
PRT,DEU,5
SWE,DEU,7
BEL,DEU,1
ISR,DEU,6
GBR,DEU,2
GRC,DEU,0
DEU,DEU,8
AZE,DEU,0
ALB,DEU,0
HRV,DEU,0
UKR,DEU,0
FIN,DEU,0
ESP,DEU,0
ARM,DEU,0
CYP,DEU,0
IRL,DEU,0
NLD,DEU,0
AUT,DEU,0
DNK,DEU,3
HUN,DEU,0
CHE,DEU,0
SRB,DEU,0
FRA,ITA,0
ITA,ITA,12
BGR,ITA,0
AUS,ITA,10
PRT,ITA,0
SWE,ITA,2
BEL,ITA,1
ISR,ITA,6
GBR,ITA,5
GRC,ITA,0
DEU,ITA,0
AZE,ITA,3
ALB,ITA,0
HRV,ITA,7
UKR,ITA,4
FIN,ITA,0
ESP,ITA,0
ARM,ITA,0
CYP,ITA,0
IRL,ITA,0
NLD,ITA,0
AUT,ITA,0
DNK,ITA,8
HUN,ITA,0
CHE,ITA,0
SRB,ITA,0
FRA,ESP,0
ITA,ESP,8
BGR,ESP,10
AUS,ESP,6
PRT,ESP,4
SWE,ESP,12
BEL,ESP,7
ISR,ESP,5
GBR,ESP,3
GRC,ESP,0
DEU,ESP,0
AZE,ESP,2
ALB,ESP,0
HRV,ESP,0
UKR,ESP,0
FIN,ESP,0
ESP,ESP,0
ARM,ESP,0
CYP,ESP,0
IRL,ESP,0
NLD,ESP,1
AUT,ESP,0
DNK,ESP,0
HUN,ESP,0
CHE,ESP,0
SRB,ESP,0
FRA,UKR,0
ITA,UKR,10
BGR,UKR,5
AUS,UKR,0
PRT,UKR,12
SWE,UKR,0
BEL,UKR,8
ISR,UKR,7
GBR,UKR,4
GRC,UKR,3
DEU,UKR,0
AZE,UKR,0
ALB,UKR,2
HRV,UKR,0
UKR,UKR,0
FIN,UKR,0
ESP,UKR,6
ARM,UKR,0
CYP,UKR,0
IRL,UKR,0
NLD,UKR,1
AUT,UKR,0
DNK,UKR,0
HUN,UKR,0
CHE,UKR,0
SRB,UKR,0
FRA,GBR,0
ITA,GBR,8
BGR,GBR,10
AUS,GBR,2
PRT,GBR,12
SWE,GBR,5
BEL,GBR,4
ISR,GBR,3
GBR,GBR,0
GRC,GBR,0
DEU,GBR,6
AZE,GBR,0
ALB,GBR,0
HRV,GBR,0
UKR,GBR,0
FIN,GBR,0
ESP,GBR,0
ARM,GBR,0
CYP,GBR,0
IRL,GBR,1
NLD,GBR,7
AUT,GBR,0
DNK,GBR,0
HUN,GBR,0
CHE,GBR,0
SRB,GBR,0